Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeElo,AwayElo,EloDiff,Home_PPG_Last5,Away_PPG_Last5,Home_GoalsScored_Last5,Away_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsConceded_Last5,Home_Shots_Last5,Away_Shots_Last5,Home_ShotsAllowed_Last5,Away_ShotsAllowed_Last5,Home_SOT_Last5,Away_SOT_Last5,Home_SOTAllowed_Last5,Away_SOTAllowed_Last5,Home_OppAvgElo_Last5,Away_OppAvgElo_Last5,PPG_Last5_Diff,Goals_Last5_Diff,GoalsConceded_Last5_Diff,Shots_Last5_Diff,SOT_Last5_Diff,ShotDiff_Last5_Diff,HomeRestDays,AwayRestDays,RestDiff
2020/21,2020-09-26,Brighton,Man United,2,3,A,18,7,5,3,1500.58,1490.29,10.29,1.50,0.00,2.00,1.00,1.50,3.00,13.00,13.00,8.00,14.00,4.50,4.00,2.50,5.00,1505.00,1510.00,1.50,1.00,-1.50,0.00,0.50,6.00,6,7,-1
2020/21,2020-09-26,Crystal Palace,Everton,1,2,A,8,10,1,5,1519.71,1519.42,0.29,3.00,3.00,2.00,3.00,0.50,1.00,9.50,16.00,11.00,7.50,4.00,5.50,4.50,4.50,1500.00,1495.00,0.00,-1.00,-0.50,-6.50,-1.50,-10.00,7,7,0
2020/21,2020-09-26,West Brom,Chelsea,3,3,D,9,22,3,10,1480.58,1500.00,-19.42,0.00,1.50,1.00,1.50,4.00,1.50,6.50,7.50,15.00,15.50,2.50,4.00,7.00,4.50,1505.00,1505.00,-1.50,-0.50,2.50,-1.00,-1.50,-0.50,7,6,1
2020/21,2020-09-26,Burnley,Southampton,0,1,A,10,5,2,1,1490.29,1480.00,10.29,0.00,0.00,2.00,1.00,4.00,3.00,16.00,11.50,14.00,7.00,5.00,6.00,6.00,4.50,1510.00,1495.00,0.00,1.00,1.00,4.50,-1.00,-2.50,6,6,0
2020/21,2020-09-27,Sheffield United,Leeds,0,1,A,14,17,4,9,1480.29,1500.00,-19.71,0.00,1.50,0.00,3.50,1.50,3.50,6.50,8.00,14.50,18.00,1.50,5.00,3.00,6.00,1500.00,1495.00,-1.50,-3.50,-2.00,-1.50,-3.50,2.00,6,8,-2
2020/21,2020-09-27,Tottenham,Newcastle,1,1,D,23,6,12,1,1500.00,1499.42,0.58,1.50,1.50,2.50,1.00,1.50,1.50,9.00,10.50,14.50,14.00,5.50,1.00,5.50,4.50,1495.00,1495.00,0.00,1.50,0.00,-1.50,4.50,-2.00,7,7,0
2020/21,2020-09-27,Man City,Leicester,2,5,A,16,7,5,7,1510.29,1519.71,-9.42,3.00,3.00,3.00,3.50,1.00,1.00,14.00,13.50,10.00,11.50,9.00,6.50,1.00,3.00,1510.00,1500.00,0.00,-0.50,0.00,0.50,2.50,2.00,6,7,-1
2020/21,2020-09-27,West Ham,Wolves,4,0,H,15,11,7,2,1480.58,1499.71,-19.14,0.00,1.50,0.50,1.50,2.00,1.50,14.50,10.50,11.00,11.50,3.00,2.50,2.50,5.50,1505.00,1500.00,-1.50,-1.00,0.50,4.00,0.50,4.50,8,6,2
2020/21,2020-09-28,Fulham,Aston Villa,0,3,A,16,12,3,5,1480.00,1509.71,-29.71,0.00,3.00,1.50,1.00,3.50,0.00,9.50,18.00,11.50,4.00,4.00,2.00,6.50,1.00,1495.00,1490.00,-3.00,0.50,3.50,-8.50,2.00,-16.00,9,7,2
2020/21,2020-09-28,Liverpool,Arsenal,3,1,H,21,4,8,3,1520.00,1519.42,0.58,3.00,3.00,3.00,2.50,1.50,0.50,20.00,10.00,5.50,9.50,6.00,4.50,3.00,2.50,1505.00,1495.00,0.00,0.50,1.00,10.00,1.50,14.00,8,9,-1
2020/21,2020-10-03,Chelsea,Crystal Palace,4,0,H,17,4,6,0,1499.44,1509.70,-10.26,1.33,2.00,2.00,1.67,2.00,1.00,12.33,9.00,13.33,10.67,6.00,3.00,4.00,4.67,1496.86,1506.47,-0.67,0.33,1.00,3.33,3.00,0.67,7,7,0
2020/21,2020-10-03,Everton,Brighton,4,2,H,11,11,6,3,1529.43,1490.28,39.15,3.00,1.00,2.67,2.00,1.00,2.00,14.00,14.67,7.67,7.67,5.33,4.67,3.33,2.67,1503.24,1500.10,2.00,0.67,-1.00,-0.67,0.67,-0.67,7,7,0
2020/21,2020-10-03,Leeds,Man City,1,1,D,12,23,7,2,1509.43,1500.56,8.87,2.00,1.50,2.67,2.50,2.33,3.00,11.00,15.00,16.67,8.50,6.33,7.00,5.33,4.00,1490.10,1514.86,0.50,0.17,-0.67,-4.00,-0.67,-12.17,6,6,0
2020/21,2020-10-03,Newcastle,Burnley,3,1,H,10,7,5,3,1499.44,1479.99,19.45,1.33,0.00,1.00,1.00,1.33,2.50,9.00,13.00,17.00,9.50,1.00,3.50,7.00,3.50,1496.67,1495.00,1.33,0.00,-1.17,-4.00,-2.50,-11.50,6,7,-1
2020/21,2020-10-04,Leicester,West Ham,0,3,A,4,14,0,6,1529.44,1491.13,38.32,3.00,1.00,4.00,1.67,1.33,1.33,11.33,14.67,13.00,11.00,6.67,4.33,3.67,2.33,1503.43,1503.24,2.00,2.33,0.00,-3.33,2.33,-5.33,7,7,0
2020/21,2020-10-04,Southampton,West Brom,2,0,H,13,5,7,2,1490.30,1481.13,9.16,1.00,0.33,1.00,1.67,2.00,3.67,9.33,7.33,8.00,17.33,4.33,2.67,3.67,8.00,1493.43,1503.33,0.67,-0.67,-1.67,2.00,1.67,11.33,8,8,0
2020/21,2020-10-04,Arsenal,Sheffield United,2,1,H,6,6,5,2,1509.44,1470.85,38.59,2.00,0.00,2.00,0.00,1.33,1.33,8.00,9.00,13.33,15.33,4.00,2.33,4.33,5.00,1503.33,1500.00,2.00,2.00,0.00,-1.00,1.67,1.00,6,7,-1
2020/21,2020-10-04,Wolves,Fulham,1,0,H,14,10,5,2,1489.16,1470.85,18.31,1.00,0.00,1.00,1.00,2.33,3.33,10.67,11.67,12.67,11.67,2.33,3.67,6.00,6.00,1493.53,1499.90,1.00,0.00,-1.00,-1.00,-1.33,-2.00,7,6,1
2020/21,2020-10-04,Man United,Tottenham,1,6,A,5,22,2,8,1500.58,1499.98,0.60,1.50,1.33,2.00,2.00,2.50,1.33,10.00,13.67,16.00,11.67,3.50,7.67,5.00,4.00,1505.29,1496.47,0.17,0.00,1.17,-3.67,-4.17,-8.00,8,7,1
